4502596939-10,Purchase Requisition Creation,20171005 00:00:00,USER 57,,
4502481624-120,Purchase Requisition Creation,20170213 00:00:00,USER 220,,
4502554747-20,Purchase Requisition Creation,20170628 00:00:00,USER 337,,
4502632634-60,Purchase Requisition Creation,20171214 00:00:00,USER 328,,
4502582922-10,Purchase Requisition Creation,20170908 00:00:00,USER 448,,
4502488153-50,Purchase Requisition Creation,20170222 00:00:00,USER 213,,
4502478213-50,Purchase Requisition Creation,20170207 00:00:00,USER 328,,
4502607851-10,Purchase Requisition Creation,20171027 00:00:00,USER 50,,
4502482591-40,Purchase Requisition Creation,20170209 00:00:00,USER 442,,
4502628480-30,Purchase Requisition Creation,20171209 00:00:00,USER 150,,
4502591674-10,Purchase Requisition Creation,20170926 00:00:00,USER 463,,
4502604518-120,Purchase Requisition Creation,20171021 00:00:00,USER 442,,
4502462618-20,Purchase Requisition Creation,20170110 00:00:00,USER 23,,
4502593808-20,Purchase Requisition Creation,20170929 00:00:00,USER 343,,
4502597512-90,Purchase Requisition Creation,20171007 00:00:00,USER 443,,
4502521058-50,Purchase Requisition Creation,20170426 00:00:00,USER 331,,
4502580549-40,Purchase Requisition Creation,20170905 00:00:00,USER 150,,
4502619989-200,Purchase Requisition Creation,20171122 00:00:00,USER 23,,
4502600315-90,Purchase Requisition Creation,20171013 00:00:00,USER 23,,
4502596927-20,Purchase Requisition Creation,20171005 00:00:00,USER 151,,
4502496973-210,Purchase Requisition Creation,20170309 00:00:00,USER 448,,
4502545099-60,Purchase Requisition Creation,20170613 00:00:00,USER 442,,
4502523189-10,Purchase Requisition Creation,20170518 00:00:00,USER 455,,
4502559262-10,Purchase Requisition Creation,20170712 00:00:00,USER 325,,
4502547323-260,Purchase Requisition Creation,20171207 00:00:00,USER 505,,
4502611468-20,Purchase Requisition Creation,20171103 00:00:00,USER 442,,
4502585715-60,Purchase Requisition Creation,20170914 00:00:00,USER 343,,
4502621543-20,Purchase Requisition Creation,20171124 00:00:00,USER 328,,
4502471373-100,Purchase Requisition Creation,20170125 00:00:00,USER 328,,
4502616412-330,Purchase Requisition Creation,20171116 00:00:00,USER 328,,
4502517800-20,Purchase Requisition Creation,20170419 00:00:00,USER 443,,
4502539587-10,Purchase Requisition Creation,20170531 00:00:00,USER 504,,
4502509298-20,Purchase Requisition Creation,20170331 00:00:00,USER 184,,
4502537727-110,Purchase Requisition Creation,20170529 00:00:00,USER 343,,
4502468898-40,Purchase Requisition Creation,20170120 00:00:00,USER 23,,
4502529088-10,Purchase Requisition Creation,20170511 00:00:00,USER 530,,
4502499738-50,Purchase Requisition Creation,20170315 00:00:00,USER 23,,
4502613924-80,Purchase Requisition Creation,20171110 00:00:00,USER 442,,
4502617062-80,Purchase Requisition Creation,20171115 00:00:00,USER 138,,
4502486664-40,Purchase Requisition Creation,20170218 00:00:00,USER 59,,
4502580396-40,Purchase Requisition Creation,20170904 00:00:00,USER 394,,
4502603376-50,Purchase Requisition Creation,20171018 00:00:00,USER 131,,
4502570655-30,Purchase Requisition Creation,20170810 00:00:00,USER 443,,
4502517800-70,Purchase Requisition Creation,20170419 00:00:00,USER 443,,
4502630842-110,Purchase Requisition Creation,20171214 00:00:00,USER 150,,
4502585791-30,Purchase Requisition Creation,20170914 00:00:00,USER 150,,
4502566736-10,Purchase Requisition Creation,20170801 00:00:00,USER 296,,
4502581990-30,Purchase Requisition Creation,20170811 00:00:00,USER 144,,
4502617193-40,Purchase Requisition Creation,20171117 00:00:00,USER 150,,
4502620175-10,Purchase Requisition Creation,20171121 00:00:00,USER 15,,
4502503257-10,Purchase Requisition Creation,20170317 00:00:00,USER 218,,
4502605351-20,Purchase Requisition Creation,20171024 00:00:00,USER 328,,
4502493107-30,Purchase Requisition Creation,20170304 00:00:00,USER 150,,
4502598746-20,Purchase Requisition Creation,20171011 00:00:00,USER 23,,
4502483946-140,Purchase Requisition Creation,20170217 00:00:00,USER 23,,
4502474026-70,Purchase Requisition Creation,20170131 00:00:00,USER 328,,
4502484047-30,Purchase Requisition Creation,20170214 00:00:00,USER 59,,
4502470609-10,Purchase Requisition Creation,20170123 00:00:00,USER 168,,
4502563217-40,Purchase Requisition Creation,20170721 00:00:00,USER 23,,
4502463288-10,Purchase Requisition Creation,20170110 00:00:00,USER 7,,
4502621638-40,Purchase Requisition Creation,20171123 00:00:00,USER 61,,
4502538531-330,Purchase Requisition Creation,20170531 00:00:00,USER 23,,
4502462981-20,Purchase Requisition Creation,20170110 00:00:00,USER 442,,
4502462496-10,Purchase Requisition Creation,20170105 00:00:00,USER 442,,
4502635862-40,Purchase Requisition Creation,20171228 00:00:00,USER 23,,
4502604060-120,Purchase Requisition Creation,20171020 00:00:00,USER 442,,
4502598110-30,Purchase Requisition Creation,20171010 00:00:00,USER 442,,
4502593418-60,Purchase Requisition Creation,20170928 00:00:00,USER 328,,
4502574748-80,Purchase Requisition Creation,20180816 00:00:00,USER 364,,
4502579816-60,Purchase Requisition Creation,20170901 00:00:00,USER 328,,
4502509445-20,Purchase Requisition Creation,20170401 00:00:00,USER 442,,
4502517753-40,Purchase Requisition Creation,20101014 00:00:00,USER 233,,
4502610377-50,Purchase Requisition Creation,20171103 00:00:00,USER 23,,
4502522575-80,Purchase Requisition Creation,20170428 00:00:00,USER 337,,
4502482825-10,Purchase Requisition Creation,20170209 00:00:00,USER 32,,
4502483946-130,Purchase Requisition Creation,20170217 00:00:00,USER 23,,
4502616717-10,Purchase Requisition Creation,20171116 00:00:00,USER 442,,
4502475078-10,Purchase Requisition Creation,20170201 00:00:00,USER 343,,
4502578798-10,Purchase Requisition Creation,20170830 00:00:00,USER 252,,
4502621809-20,Purchase Requisition Creation,20171124 00:00:00,USER 59,,
4502601228-70,Purchase Requisition Creation,20171009 00:00:00,USER 155,,
4502509207-40,Purchase Requisition Creation,20170320 00:00:00,USER 357,,
4502585666-50,Purchase Requisition Creation,20170912 00:00:00,USER 471,,
4502559439-40,Purchase Requisition Creation,20170712 00:00:00,USER 43,,
4502557888-30,Purchase Requisition Creation,20170704 00:00:00,USER 442,,
4502491394-30,Purchase Requisition Creation,20170228 00:00:00,USER 328,,
4502517433-50,Purchase Requisition Creation,20170421 00:00:00,USER 23,,
4502597646-30,Purchase Requisition Creation,20171005 00:00:00,USER 23,,
4502478491-10,Purchase Requisition Creation,20170203 00:00:00,USER 37,,
4502528052-60,Purchase Requisition Creation,20170510 00:00:00,USER 443,,
4502551763-10,Purchase Requisition Creation,20170616 00:00:00,USER 59,,
4502492443-340,Purchase Requisition Creation,20170303 00:00:00,USER 328,,
4502596049-10,Purchase Requisition Creation,20171003 00:00:00,USER 53,,
4502579157-80,Purchase Requisition Creation,20170901 00:00:00,USER 150,,
4502520177-40,Purchase Requisition Creation,20170425 00:00:00,USER 442,,
